Name,Type,Volume,Length,Width,Thickness,Length of the higher touch point of width,Length of the higher touch point of thickness,width at half length,thickness at half,width at one fifth,thickness at one fifth,width at four fifth,thickness at four fifth,3DGMPC1(10x10),3DGMPC2(10x10),3DGMPC3(10x10),3DGMPC4(10x10),3DGMPC5(10x10),ScarCount,SurfaceArea3D,SDI,%Cortex,%Ventral,%Flaked,SurfaceAreaCallipers,%FlakedVisual,%FlakedCallipers,FAC1_1
BSN17-21,Pick,269239.6977,156.6530097,76.9441761,78.9055384,75.69669348,54.45288584,73.06610748,53.66707411,51.95597477,75.55044175,37.79792272,20.04339188,1.4446,-0.8566,0.7916,-0.8824,0.1392,7,26062.45945,0.000268586,70.801,0,29.199,38349.844,30,0.307864616,0.797876353
BSN17-24,Pick,334915.3621,177.3330626,74.15663515,78.89085461,38.93032531,63.83596239,65.50311569,59.80841524,72.79148109,77.58808003,33.61828294,25.25914238,1.7704,-1.2614,0.6205,-0.9697,0.3589,13,29500.23411,0.000440674,50.459,0,49.541,45497.94227,60,0.536599652,0.785186239
BSN17-34,Pick,250174.7077,141.117767,80.40702354,60.13020829,49.68858384,49.0208645,67.91676108,49.0566421,70.62843792,53.62721542,31.93924328,25.22147263,0.9183,-1.1003,0.2891,-0.5974,0.4449,10,22737.89564,0.000439794,66.397,0,33.603,35218.875,35,0.293849818,0.132824639
BSN17-35,Handaxe/Cleaver,202239.6156,115.7251644,86.14838838,53.7670887,42.14823165,44.03014753,77.06205682,52.41473043,84.31507679,50.2012897,29.14302612,27.00110229,-0.4101,-1.7504,0.0083,0.263,-0.1903,9,20353.68505,0.00044218,59.247,0,40.753,31961.591,40,0.376250982,-0.385129544
BSN17C-29,Pick,220590.2617,107.1711395,64.5072376,65.24016814,65.34742686,59.201627,62.6606091,64.9012005,61.29590813,53.59402425,56.26534797,44.28566854,-1.0348,-0.7161,0.2411,0.7574,0.0314,12,21703.18178,0.000552914,28.162,0,71.838,34132.59933,70,,-1.083837026
BSN17C-231,Core,194417.611,99.22434384,85.68154747,66.90414473,50.1969741,37.74641597,81.64660882,57.70081785,68.45238666,58.90265854,41.78582968,35.67122934,-1.0548,0.0969,0.1033,0.9984,1.309,9,19364.80716,0.000464761,51.556,0,48.444,28240.21587,50,0.533639689,-1.174521202
EG10-1125,Oldowan,85291.31214,79.63386469,65.39161725,38.48040913,48.46618639,62.75121326,65.05369358,37.67612397,53.49660502,33.02991905,56.09901823,28.10131925,-0.7953,1.0032,-0.7492,0.7191,-0.9304,10,12008.64828,0.000832733,51.965,0,48.035,17645.16,40,0.357319514,-0.028857133
EG10-1171,Oldowan,63478.59544,81.55642738,57.94610804,32.98039602,41.14454781,23.21559765,57.9093058,30.60858651,46.65397726,32.90504823,46.5213188,25.97821865,0.1721,-0.3353,-1.0074,1.445,0.4405,11,10413.66963,0.001056304,20.537,17.164,62.299,15751.90667,60,0.680369064,0.092299606
EG10-1215,Oldowan,85451.86613,77.72994689,53.07033895,48.86617075,43.17087772,38.22410579,52.45505701,48.4830097,47.7960441,32.68167545,41.11836103,34.57627646,-1.48,0.8845,1.0945,0.1464,-0.9978,10,11099.75241,0.000900921,55.755,0,44.245,16871.08,30,0.311282384,-1.231292841
EG10-1223,Oldowan,69872.36507,81.32957371,56.14321131,40.84933454,45.96369494,49.53300462,55.71138723,40.05193991,43.48119332,28.34447498,48.3218199,23.38544563,-0.7728,0.199,-0.8351,-0.8494,-1.0257,7,10255.44534,0.000682564,51.987,0,48.013,15562.94333,50,0.447656966,-0.131092042
OGS7-334,Oldowan,28196.50708,63.90484377,40.93961629,27.80828623,44.18590687,34.93695641,38.60148271,25.45614317,34.06831245,21.79827637,36.59286638,19.19749962,-0.2178,0.153,-0.8305,0.4364,0.1011,6,5816.128291,0.001031614,50.91,0,49.09,9414.733333,50,0.462211711,-0.218347744
OGS7-335,Oldowan,59852.336,66.50340427,60.31326942,39.97144046,44.15221235,41.07674709,56.47178552,39.48266775,50.13675912,21.23837835,45.50961935,30.97159552,-2.1555,-1.7675,-1.0206,0.6891,-0.9018,6,9358.898638,0.000641101,27.561,0,72.439,12309.5,75,0.816189935,-0.816218527
OGS7-437,Oldowan,21772.5706,66.38726555,39.63231166,22.48335808,40.37881821,31.53775262,38.27637385,21.52758198,20.95599406,19.8561545,28.90335453,15.17679649,1.2835,-0.0332,-0.4343,0.666,0.4715,5,5361.078588,0.000932648,47.469,0,52.531,7106.653333,15,0.255038471,1.034089418
OGS7-485,Oldowan,34930.3566,63.83080324,47.17275887,38.84139736,20.51553588,28.20678572,39.7540671,37.15349975,44.55563762,24.71858883,19.87887513,19.53751786,-0.4194,0.9307,-1.1535,-1.321,0.248,8,6608.173867,0.001210622,26.606,0,73.394,10035.96,70,0.70609289,-1.018354507
OGS7-486,Oldowan,29519.81666,68.61100175,43.09227806,31.30321943,42.07735594,43.77115402,42.19812705,29.03012044,33.44340199,19.08870135,23.77395334,22.27382052,0.9214,1.3791,0.1299,0.3874,0.3976,8,6370.738771,0.001255741,32.974,0,67.026,9264.29,70,0.736536745,-0.05207996
OGS7-523,Oldowan,31061.14844,49.53765374,41.38494878,33.00664958,38.29122921,12.79554081,36.80174612,28.78814082,39.24176533,32.94261276,33.82764935,24.07391691,-0.7049,1.6631,1.1418,-1.3642,-0.3607,4,5957.57497,0.000671414,48.751,0,51.249,10029.27,60,0.480672073,-0.952114753
OGS7-2002,Oldowan,23796.14107,43.86547722,37.33019445,30.83917686,26.93247434,24.35203281,36.59659587,30.60442127,29.28362545,22.19418631,33.39824696,22.37632922,-2.3022,1.7146,0.9512,0.2336,0.7951,19,4673.474561,0.004065498,3.353,0,96.647,7605.76,95,0.749709431,-1.64796177
OGS7-2006,Oldowan,9913.126609,41.38374062,32.25992334,16.48848641,16.69141688,25.38515473,31.15982166,16.47528157,27.29043347,13.43716174,26.53866873,12.30554925,-0.8529,0.3641,-1.4751,-0.5693,-1.2987,12,3107.645212,0.003861445,14.894,8.161,76.945,4420.43,85,0.804444364,-0.060861975
OGS7-2016,Oldowan,57230.71685,73.26523456,50.33887635,45.56144872,28.86108013,19.9114663,46.21614366,33.56813623,46.17734663,45.04967642,25.70914761,15.87721762,-0.2271,-0.6971,1.149,0.6011,-0.3652,10,8766.463744,0.001140711,33.318,13.498,53.184,9043.836667,95,0.815811578,0.988456232
OGS7-2066,Oldowan,13719.79158,42.59521013,30.03119916,29.52225854,17.02403887,10.30437279,27.36774113,21.52108751,25.97107848,29.19087357,20.74670456,16.42177038,-1.2265,-0.3574,2.2095,0.0276,-1.1214,15,3542.781723,0.004233961,9.75,0,90.25,5463.733333,95,0.833662575,-1.327421638
OGS7-2081,Oldowan,19571.13596,45.43475455,38.14676826,24.65714486,27.50676936,26.88710445,33.81749429,23.40359577,34.98431092,23.83652603,24.35644259,19.92479191,-1.7575,0.4191,0.2097,0.0066,0.7004,7,4292.550801,0.001630732,47.616,0,52.384,6463.166667,60,0.585114108,-0.95079821
OGS7-2092,Oldowan,14336.42763,34.66843041,34.0293707,25.96005366,17.46056066,13.47785563,32.80934535,25.52186082,33.51495268,25.36524128,21.43929119,20.63807557,-1.805,-0.4549,-1.4006,-0.309,1.0721,6,3355.848427,0.001787923,51.845,0,48.155,4982.933333,50,0.529244488,-1.458471687
OGS7-2114,Oldowan,20795.79173,44.33395179,39.12262272,34.63445406,12.22521787,19.72009562,30.88855198,33.54624535,37.96876462,31.8030769,22.38943741,19.18008247,-2.2152,-1.0255,0.2955,-1.7031,1.4818,8,4470.389893,0.001789553,34.458,0,65.542,7687.956667,60,,-1.55885167
OGS12-13,Pick,329420.9128,171.9596823,91.36688767,63.66758547,91.88050885,67.75464469,90.94233105,56.98508516,74.73354047,51.37377307,65.88362318,28.94837898,1.8345,0.4692,0.0333,-0.04,-0.1758,13,31229.09326,0.000416278,24.094,31.576,44.33,58316.2977,40,0.418544917,0.355645548
OGS12-16,Handaxe/Cleaver,205943.0019,131.7349127,83.55946594,43.48146166,63.86677498,71.92329774,82.71012926,41.91998052,68.18527523,43.46433147,53.40385732,20.83770267,0.5485,0.0142,-0.285,-0.2172,-0.32,11,21978.42586,0.000500491,36.965,0,63.035,33653.6723,60,0.621519096,0.786874884
OGS12-63,Handaxe/Cleaver,230270.3364,166.6996195,85.69830057,48.76776449,62.40911132,72.34652152,79.07127505,46.10741969,77.58652209,36.61089825,35.46707625,28.93641999,2.0248,0.0107,-0.2236,-0.5395,-0.4423,4,25779.52488,0.000155162,26.618,31.088,42.294,38727.4062,40,0.258474246,1.567594654
OGS12-74,Pick,326280.0205,149.7376048,87.72087158,71.71778991,60.51875938,25.33583582,73.70279675,57.58451998,82.26780862,71.01789986,39.68432572,31.93314162,0.8599,-1.1407,1.0446,0.312,-0.2093,15,29198.25199,0.000513729,23.571,0,76.429,44418.7182,80,0.716951801,-0.120476569
OGS12-102,Pick,166400.1858,128.5929583,79.09428987,47.63256998,65.73984061,83.73134218,78.06728729,47.36250409,63.95026615,30.11246972,37.13323754,27.65341341,1.1154,0.3545,-0.2979,-0.0963,-0.0313,10,19171.15399,0.000521617,33.544,21.086,45.37,30179.2812,65,0.36112656,0.535491582
OGS12-110,"""Retouched Flake/Knife""",159932.0859,115.0246369,91.53153617,45.81800845,38.8060288,32.93761413,87.26294946,35.00131338,89.91091954,39.53693892,45.59098824,16.29614468,0.7003,0.0061,-0.1981,0.7349,-0.6929,7,20495.82142,0.000341533,9.32,40.421,50.259,30928.49307,40,0.472799304,0.873765634
OGS12-113,"""Retouched Flake/Knife""",140636.2073,124.639496,80.36357334,45.21207515,52.66057175,52.45858712,77.47649034,38.21047184,58.92725525,45.1681591,46.54323355,20.74040568,1.6544,1.0272,0.4225,1.1281,0.7706,4,18001.17207,0.000222208,28.686,45.626,25.688,26069.058,30,0.215514776,0.828719195
OGS12-115,"""Retouched Flake/Knife""",276080.1563,144.9418023,98.64116151,51.25369966,71.98961245,65.98318668,97.48854221,45.48888255,82.99472039,50.99081888,60.22681323,20.35247411,1.1282,0.3607,0.1971,1.2627,0.4113,4,27751.14741,0.000144138,44.377,35.288,20.335,35440.84417,15,0.233201274,0.132404007
OGS12-226,Handaxe/Cleaver,265926.4603,146.8479093,97.08638495,56.98601238,63.72911316,68.87627428,88.92459266,53.4315864,93.84650044,48.18327881,47.90444418,29.96949285,1.1434,-0.0491,-0.4351,-0.048,-0.3111,14,28122.78925,0.000497817,3.88,0,96.12,44607.9286,95,0.809954475,0.683005203
OGS12-2012,Pick,286650.3212,172.9814853,83.33122997,73.75098051,113.2366165,91.19937374,80.87771,71.63749219,55.47582921,45.38900033,58.25417043,30.91020527,1.9119,0.4953,-0.5863,-1.3083,0.2013,10,30194.04869,0.000331191,8.761,0,91.239,47937.316,95,0.953519884,0.342966958
